session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,pt_root_id,cc_max,layer,cell_type
6,4,7220,6681,1078.6,1013.27,415.62,V1,6,864691137056338550,0.886261,L5,5P-IT
6,4,7221,6682,1099.93,208.81,408.16,RL,6,864691136040227582,0.666226,L5,5P-IT
6,4,7225,6686,1162.76,281.19,408.43,RL,6,864691136578437140,0.469062,L5,5P-ET
6,4,7226,6687,912.05,913.25,415.73,V1,6,864691136371828616,0.610353,L5,5P-IT
6,4,7227,6688,1170.17,306.11,408.61,RL,6,864691135213523512,0.82107,L5,5P-IT
6,4,7228,6689,1315.31,555.53,410.0,RL,6,864691135118658269,0.784883,L5,5P-IT
6,4,7229,6690,1319.81,964.03,413.7,V1,6,864691135587290492,0.872807,L5,5P-IT
6,4,7230,6691,1154.75,667.24,412.0,V1,6,864691135376100425,0.85026,L5,5P-IT
6,4,7232,6693,958.27,502.38,411.7,V1,6,864691136904060594,0.845814,L5,5P-IT
6,4,7233,6694,1294.08,1013.78,414.31,V1,6,864691135274521573,0.949282,L5,5P-IT
6,4,7234,6695,1117.76,863.92,414.02,V1,6,864691135405733870,0.796675,L5,5P-IT
6,4,7235,6696,1039.51,153.87,408.02,AL,6,864691135816401743,0.836946,L5,5P-ET
6,4,7236,6697,1246.05,662.47,411.4,V1,6,864691136195736908,0.876462,L5,5P-IT
6,4,7237,6698,1218.67,928.92,414.0,V1,6,864691135277588709,0.873015,L5,5P-IT
6,4,7238,6699,1207.18,106.94,406.57,AL,6,864691136618145499,0.915866,L5,5P-IT
6,4,7240,6701,1299.26,998.85,414.14,V1,6,864691136814779246,0.972482,L5,5P-IT
6,4,7241,6702,1182.68,328.56,408.74,RL,6,864691135716197914,0.739986,L5,5P-IT
6,4,7242,6703,949.28,1017.95,416.46,V1,6,864691136437213854,0.868016,L5,5P-IT
6,4,7243,6704,1165.6,241.34,408.05,RL,6,864691135759630414,0.76361,L5,5P-IT
6,4,7244,6705,1299.85,921.64,413.44,V1,6,864691135213121664,0.728827,L5,5P-IT
