session,scan_idx,unit_id,readout_id,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI
4,7,861,701,-0.2320488864,0.0157842619,14.156069961,12.9154684104,-0.298994937,7.8010159434
4,7,862,702,-0.2789998127,0.2206001571,17.6414056329,11.0132615528,-3.1088172688,6.765497596
4,7,863,703,-0.2119632778,0.0559143714,12.3728070153,13.5967298021,1.7229163073,7.694538744
4,7,865,704,-0.2302384286,-0.1404328645,12.7765986313,10.1071443366,-0.2517192639,6.9695494204
4,7,867,705,-0.1650699407,-0.1111424556,12.0699984488,14.4956842555,-3.1415926536,6.8629313195
4,7,873,707,-0.0633379837,0.1674980845,25.0163166018,22.7752071533,-3.1415926536,6.4904870334
4,7,875,709,-0.3016020746,-0.2894823638,12.4174316287,16.6251856511,1.7346039265,7.4520018385
4,7,878,710,-0.1550163665,-0.2245120758,10.812682547,12.9924676066,1.596100056,6.7791136449
4,7,879,711,-0.0742105617,0.4241916088,22.7421758136,11.7458442037,-3.1415926536,6.783841478
4,7,881,712,-0.1281675224,-0.0505644268,14.797965402,12.6864691817,-3.1415926536,7.3852121064
4,7,882,713,-0.1363050763,0.1665884872,19.6068757449,13.6101307784,3.1415926536,6.4622411315
4,7,883,714,-0.0804969216,0.2304271609,17.289468435,13.3269536765,0.3209900633,8.3851138202
4,7,884,715,-0.1371582644,-0.0144023719,13.9646615024,11.6556971376,-0.4932309757,8.0585266812
4,7,886,716,-0.1944744703,0.0052977084,16.6006820611,11.8949183725,3.1415926536,7.0722533293
4,7,888,717,-0.1187007872,0.0740308019,9.7478040779,10.4946967753,-3.1415926536,7.0119689702
4,7,889,718,-0.0433106013,0.0123730296,19.1747767413,12.5360359811,-0.9288800061,6.7724724914
4,7,890,719,-0.1166338454,0.3514226522,17.2825128849,10.8203255294,0.0688698734,7.1925618485
4,7,893,722,-0.1453963702,0.194872444,12.8544898645,10.7325286774,-0.026664809,6.5921499365
