session,scan_idx,unit_id,readout_id,brain_area,layer,MEDI,Gabor,MESI,Grating,Natural
4,7,1011,830,V1,L23,10.175421,2.100372552871704,3.909345149993897,3.3335397243,8.036452293395996
4,7,1012,831,RL,L23,18.694752,3.51332950592041,2.303123712539673,7.3875718117,4.325048923492432
4,7,1013,832,V1,L23,17.015171,2.3111891746521,2.5880277156829834,12.9260892868,13.501191139221191
4,7,1014,833,V1,L23,39.859386,6.403831958770752,10.983351707458496,4.0147089958,13.3118314743042
4,7,1016,835,V1,L23,3.810049,1.3115878105163574,2.5237936973571777,3.2417473793,35.63661193847656
4,7,1019,837,V1,L23,3.0318618,1.8290317058563232,1.9910813570022583,3.3940808773,4.149665355682373
4,7,1020,838,V1,L23,10.365723,1.0873196125030518,2.8280892372131348,6.8686103821,7.646815776824951
4,7,1021,839,V1,L23,56.40580749511719,13.262005805969238,27.48076438903809,9.3128013611,9.986318588256836
4,7,1023,840,V1,L23,55.49681,4.656055927276611,7.050209999084473,5.557246685,7.126479625701904
4,7,1029,842,LM,L23,154.5484,0.980682909488678,38.61747360229492,9.9502010345,7.890215873718262
4,7,1030,843,V1,L23,7.4249134,3.103889226913452,3.6010098457336426,4.3914494514,5.0795416831970215
4,7,1031,844,V1,L23,43.8726921081543,4.126586437225342,11.163636207580566,6.0291137695,8.92796516418457
4,7,1033,846,RL,L23,13.309761,14.519131660461426,11.363872528076172,3.3704869747,16.245994567871094
4,7,1035,847,V1,L23,10.082414,0.5415028929710388,1.9348158836364744,1.4147322178,6.695358753204346
4,7,1036,848,V1,L23,9.957413,10.298056602478027,10.099183082580566,5.2566962242,18.55057907104492
4,7,1037,849,V1,L23,25.721603,2.935807466506958,4.6162543296813965,4.3396840096,3.891690254211426
4,7,1042,852,V1,L23,11.61894,3.361691236495972,5.574809551239014,7.2219600677,7.698712348937988
4,7,1044,853,V1,L23,91.42516,5.582430839538574,5.652432918548584,7.8364963531,14.594647407531738
4,7,1048,856,V1,L23,5.371657,3.5909345149993896,2.971730947494507,4.37768507,6.0570969581604
4,7,1050,858,V1,L23,2.8185773,1.087478518486023,1.2071455717086792,1.1483082771,3.460651636123657
4,7,1051,859,V1,L23,11.466288,1.7770626544952393,4.004635810852051,2.1939330101,6.283703804016113
4,7,1052,860,V1,L23,9.367058,1.422510862350464,1.9170501232147217,1.9075148106,6.593660354614258
4,7,1053,861,V1,L23,4.7113404,1.243638515472412,1.1496368646621704,2.5693347454,5.471516609191895
4,7,1054,862,V1,L23,14.622649,1.246502161026001,2.327712297439575,2.1431176662,6.191207885742188
4,7,1060,867,V1,L23,25.975273,2.1068456172943115,2.434100151062012,2.4004092216,6.365745067596436
4,7,1061,868,V1,L23,8.037134,1.213415265083313,4.020417213439941,1.7846097946,4.462014675140381
4,7,1062,869,V1,L23,15.863930702209473,3.7568163871765137,4.259143829345703,2.1638159752,61.44400405883789
4,7,1064,870,V1,L23,157.03766,7.657001495361328,4.408421993255615,5.0954403877,12.841879844665527
4,7,1065,871,V1,L23,14.123837,1.8454548120498655,5.754073619842529,3.0409662724,12.216231346130373
4,7,1066,872,V1,L23,10.813138,2.3612725734710693,2.4651787281036377,1.8679014444,5.008607387542725
4,7,1067,873,V1,L23,6.88362979888916,2.4999074935913086,2.3398616313934326,2.9211702347,3.9123189449310303
4,7,1069,874,V1,L23,9.022652,4.085299491882324,2.91076135635376,8.3680276871,5.041774749755859
4,7,1070,875,V1,L23,8.6584835,2.371187686920166,3.606785297393799,2.762575388,12.981075286865234
4,7,1071,876,RL,L23,16.049057,1.495091199874878,1.8289506435394287,3.7706201077,9.337773323059082
4,7,1072,877,V1,L23,16.767271041870117,1.9412133693695068,1.6189662218093872,3.221057415,20.75572967529297
4,7,1073,878,V1,L23,17.13314,2.4346044063568115,3.557346820831299,1.9727008343,9.243374824523926
