session,scan_idx,unit_id,readout_id,start_frame,end_frame
4,7,3343,2916,7533,7592
4,7,3344,2917,11476,11535
4,7,3345,2918,64401,64460
4,7,3346,2919,25278,25337
4,7,3347,2920,12303,12362
4,7,3348,2921,61318,61377
4,7,3349,2922,22031,22090
4,7,3352,2925,55506,55565
4,7,3353,2926,22304,22363
4,7,3354,2927,25941,26000
4,7,3355,2928,39033,39092
4,7,3357,2929,40808,40867
4,7,3358,2930,40848,40907
4,7,3359,2931,39239,39298
4,7,3361,2933,23472,23531
4,7,3362,2934,66638,66697
4,7,3365,2937,31536,31595
4,7,3367,2938,21532,21591
4,7,3368,2939,67861,67920
4,7,3369,2940,53897,53956
4,7,3370,2941,51484,51543
4,7,3371,2942,5008,5067
4,7,3372,2943,37000,37059
4,7,3374,2944,14711,14770
4,7,3375,2945,14422,14481
4,7,3376,2946,25096,25155
